PG.ProteinGroups	[1] 2408_UE_34-ORS-A1.raw.PG.Quantity	[2] 2408_UE_35-ORS-B1.raw.PG.Quantity	[3] 2408_UE_36-ORS-C1.raw.PG.Quantity	[4] 2408_UE_37-ORS-D1.raw.PG.Quantity	[5] 2408_UE_39-ORS-A2.raw.PG.Quantity	[6] 2408_UE_40-ORS-B2.raw.PG.Quantity	[7] 2408_UE_41-ORS-C2.raw.PG.Quantity	[8] 2408_UE_42-ORS-D2.raw.PG.Quantity	[9] 2408_UE_44-ORS-A3.raw.PG.Quantity	[10] 2408_UE_45-ORS-B3.raw.PG.Quantity	[11] 2408_UE_47-ORS-C3.raw.PG.Quantity	[12] 2408_UE_49-ORS-D3.raw.PG.Quantity
P46013	935.4629516601562	2177.91552734375	5045.2822265625	9354.755859375	3911.821044921875	4625.80712890625	1.0591391324996948	NaN	NaN	342.6544494628906	6830.298828125	37037.984375
P46087	165171.890625	277818.34375	214018.28125	267911.75	167412.53125	250141.109375	213575.265625	328658.84375	121401.3203125	285522.40625	241227.265625	238262.78125
P46777	33263.37890625	58411.35546875	48516.21875	118590.765625	35767.03125	50812.453125	49876.32421875	75646.9765625	41454.19921875	101660.828125	53428.8828125	84343.7890625
P46778	92029.890625	222468.203125	147611.734375	177023.359375	81026.578125	97051.90625	166026.421875	205577.921875	81035.4453125	248182.65625	55311.3984375	219650.53125
P46779	110041.484375	183808.75	154495.234375	136737.03125	65318.91015625	122977.46875	108572.2734375	151652.71875	125367.921875	132465.40625	69377.1953125	174823.234375
P46781	400590.09375	1026966.875	621136.875	605092.6875	536515	931693.125	546617.5625	621404.75	546417.8125	768806.5	517110.09375	654698.375
P46782	37002.0859375	79697.7265625	56536.6015625	53413.34765625	28596.58984375	63588.71875	50186.2890625	64180.71875	36071.21875	80438.7734375	36123.53125	57691.79296875
P46783	27395.67578125	61513.51171875	30227.265625	32085.501953125	22322.251953125	42486.609375	27447.556640625	31536.068359375	16070.5126953125	50587.10546875	19751.859375	35852.9921875
P47755	30565.47265625	35559.21875	26827.587890625	1151.29638671875	13955.2353515625	5667.23583984375	11635.673828125	5371.01416015625	14162.71484375	8883.8515625	7649.744140625	11365.3955078125
P48444	1.1450334787368774	3495.725341796875	14805.681640625	NaN	NaN	4745.03369140625	5936.0166015625	3488.594482421875	7137.07470703125	2779.280517578125	8514.943359375	NaN
P48729	16412.16015625	17648.095703125	30736.99609375	48100.703125	11799.21484375	28357.80859375	29635.599609375	24950.427734375	9403.9853515625	15205.287109375	23196.005859375	14731.392578125
P48730	35151.15625	8639.3681640625	14085.310546875	19911.451171875	31602.9921875	5771.90380859375	8403.537109375	NaN	24377.177734375	6538.86474609375	10559.603515625	15677.97265625
P49207	226.994384765625	19153.08984375	44301.9375	143421.484375	10901.7080078125	34907.84375	117863.9765625	82715.1328125	23735.07421875	141589.984375	30996.275390625	141541.21875
P49327	110453.3203125	100813.75	81559.828125	71439.9375	118256.9453125	106086.40625	80174.0234375	57825.47265625	107109.21875	104120.2109375	131729.390625	67695.5234375
P49368	37146.48828125	32777.47265625	28823.84375	10850.298828125	20761.68359375	18843.25	16908.138671875	11296.29296875	11573.6689453125	15456.130859375	50178.859375	21918.822265625
P49406	23708.470703125	76977.421875	48706.62109375	54528.19140625	23446.2265625	57418.3671875	40015.20703125	45293.6953125	16788.943359375	67134.4453125	29904.978515625	74731.9140625
P49407	30222.01953125	89892.1640625	24222.17578125	24931.041015625	30185.564453125	66624.1640625	11061.7548828125	8581.81640625	24329.1015625	76391.7421875	14252.291015625	23674.357421875
P49419	376900	238563.234375	291241.78125	253144.265625	409533.03125	268534.4375	287083.0625	221117.765625	376427.9375	240437.828125	196491.5625	257807.234375
P49588	22339.556640625	7674.31640625	10720.56640625	4995.2939453125	26292.734375	8262.470703125	5983.23193359375	15.227359771728516	7921.48095703125	620.8265380859375	10231.73046875	4581.58154296875
P49721	98730.171875	11775.12109375	26156.61328125	6779.25048828125	88831.34375	16656.001953125	18796.439453125	10883.6708984375	108160.0234375	6610.59765625	16213.087890625	14002.873046875
P49736	8696.7255859375	7393.74609375	21892.861328125	7832.65576171875	11456.080078125	8790.013671875	34816.453125	718.1724243164062	7993.05322265625	3954.113525390625	10638.8759765625	NaN
P49755	65667.6640625	41860.16796875	34881.3515625	NaN	94839.6484375	51609.68359375	71885.4296875	NaN	112348.0546875	24144.833984375	25512.953125	NaN
P49756	143309.28125	75084.796875	58824.88671875	61932.11328125	105811.4609375	58314.09375	40666.15625	39285.70703125	62841.1953125	45191.1328125	56877.75	62144.23828125
P49759	14770.1142578125	84005.109375	29668.00390625	NaN	20702.265625	71959.8515625	24853.05859375	NaN	31431.3203125	97040.4921875	44903.31640625	NaN
P49760	16376.7529296875	94524.3203125	33280.87109375	16462.40625	20924.796875	87386.3203125	23060.951171875	20979.173828125	10057.92578125	59002.16015625	34054.6328125	18195.615234375
P49792	19825.740234375	13657.55859375	11956.48828125	4950.505859375	8468.3037109375	3022.353271484375	5168.1201171875	2059.602783203125	2564.30615234375	1967.94482421875	5311.2822265625	280729.5
P50395	12677.1240234375	9065.142578125	18009.796875	1522.7935791015625	9921.5380859375	19150.109375	2311.266845703125	8519.810546875	9080.765625	4741.1611328125	11763.4111328125	1167.162841796875
P50542	162685.671875	31810.5234375	67352.109375	4194.1220703125	75732.0546875	38441.6328125	35390.96484375	14374.6513671875	65357.1484375	NaN	9350.966796875	15352.3046875
P50570	707960.8125	3583.16064453125	10647.578125	NaN	15207.2578125	5105.38037109375	NaN	NaN	8526.248046875	NaN	2644.764404296875	NaN
P50914	226305.578125	524763.9375	276358.5	352504.9375	170477.078125	306354.9375	248754.859375	331680.875	197954.484375	351266.0625	230337.84375	328276.53125
P50990	33486.6875	26874.408203125	22063.08203125	6711.75244140625	24446.318359375	20965.115234375	17577.138671875	13732.21484375	25335.7109375	14177.3212890625	31946.7578125	8447.677734375
P50991	23191.685546875	20508.896484375	22889.43359375	16886.498046875	24811.19140625	14952.7890625	29921.6953125	24532.150390625	13868.740234375	11713.849609375	32202.19140625	11508.234375
P51114	99489.1953125	51087.2890625	56894.40625	66272.078125	80837.078125	49888.88671875	69322.6328125	76771.6640625	99026.46875	72800.0234375	55610.7265625	89886.765625
P51116	171410	154711.71875	59732.71875	33617.9921875	63029.13671875	44262.4453125	33408.3125	27827.21484375	1247976.375	44572.390625	53117.36328125	NaN
P51148	51711.55078125	26568.87890625	26840.54296875	24141.751953125	38415.9453125	16143.271484375	12395.0419921875	14532.62890625	39006.9140625	9540.38671875	21482.337890625	24381.669921875
P51149	39925.1015625	45822.2734375	35678.6328125	14673.5966796875	41548.9609375	20819.22265625	22750.123046875	12995.1044921875	23730.576171875	24446.931640625	16781.9765625	11870.5625
P51398	23172.818359375	126016.96875	69761.0703125	44577.0078125	27127.404296875	97330.4453125	43844.93359375	36175.99609375	14493.1640625	115163.5625	41709.87890625	41692.15625
P51648	38582.01171875	7646.11669921875	14273.974609375	8009.5400390625	43128.8125	5813.89208984375	6098.794921875	5342.06005859375	28228.78125	2181.720458984375	14549.49609375	NaN
P51659	7658878	681700	1495168.5	1876122.5	7820169	673550.125	1589874.625	1096994	7790021	667859.5	1024530.5	1950458.625
P52209	22261.107421875	36228.2265625	36424.296875	5255.04443359375	22220.08984375	24166.197265625	19614.3359375	4352.98095703125	16651.736328125	22810.744140625	68570.234375	NaN
P52272	1181285.75	1500312.125	1670427.25	1597411.125	1010350.75	1493939.5	1898787.625	2151251.5	1131875.625	1666007.75	1751012.375	1529470.5
P52292	21956.962890625	51509.26953125	34721.5078125	36447.7890625	18209.380859375	45621.265625	28543.72265625	60866.80078125	18899.13671875	51225.94140625	53557.8203125	32268.888671875
P52298	29947.50390625	93234.5390625	29545.525390625	17064.21484375	9193.3515625	26397.90625	37459.7890625	17225.228515625	4720.07666015625	102587.6796875	19065.830078125	22286.9921875
P52434	52120.796875	18465.345703125	18525.99609375	33058.390625	44180.39453125	9740.0859375	2316.883056640625	14651.4365234375	33589.58984375	3679.40380859375	13913.96875	1648.283447265625
P52597	514278.21875	954808.5625	638940.625	909200.625	421514.53125	560858.75	591996.75	776874.8125	451856.6875	745950.5625	419867.4375	937062.3125
P52701	20221.6015625	23338.357421875	22959.830078125	7621.41162109375	16205.1884765625	13065.0068359375	10329.9814453125	1290.5880126953125	15386.9482421875	6199.798828125	29343.2109375	8262.3583984375
P52948	33277.78125	16416.26953125	7542.458984375	9525.3193359375	18288.375	2276.6435546875	NaN	4770.83251953125	6250.142578125	NaN	536.9720458984375	NaN
P53350	4151.36279296875	5958.5048828125	10977.2568359375	227.97994995117188	3970.74365234375	9863.037109375	76179.7109375	219468.765625	544.3372802734375	19610.412109375	2926.184326171875	NaN
P53396	29159.734375	24327.5625	21300.306640625	11119.5908203125	26313.08203125	22525.826171875	21253.841796875	16653.71875	26209.232421875	25733.146484375	42456.78125	11736.8916015625
P53621	33277.6796875	25751.40234375	26868.107421875	81625.9140625	35058.21875	25500.361328125	34166.6875	21165.552734375	20584.251953125	5903.24951171875	44702.37890625	4107.03564453125
P53634	147938.0625	23262.71875	32740.5546875	NaN	106194.359375	9552.1494140625	28209.087890625	4032.1025390625	47412.58984375	18993.30859375	13751.2412109375	31441.1015625
P53985	57761.8203125	12534.568359375	53075.515625	119231.8203125	99688.5703125	11582.9306640625	21289.49609375	30151.86328125	88210.4375	20190.78515625	24975.6328125	55332.0546875
P54136	3658.77099609375	9383.169921875	9068.3212890625	198.46644592285156	3466.37890625	6261.56640625	11167.458984375	1481.870361328125	3723.347900390625	1382.600830078125	21301.3515625	6542.48193359375
P54289	101750.5	8207.59375	9259.8701171875	12741.7919921875	109803.59375	2283.741455078125	10038.341796875	16537.29296875	86104.296875	2573.998779296875	1870.63818359375	24289.1328125
P54578	37022.9609375	10718.107421875	2917.20263671875	NaN	1688.5028076171875	2869.769287109375	NaN	NaN	NaN	NaN	3822.759765625	NaN
P54652	31692.9140625	11689.806640625	14620.4541015625	7516.98388671875	26038.189453125	4312.509765625	10836.2626953125	9461.26953125	21431.62890625	NaN	4297.4541015625	11733.880859375
P54687	22785.314453125	22127.265625	25909.6875	24545.28125	12224.8359375	16149.794921875	16014.26953125	18887.189453125	6593.6865234375	11634.5859375	14993.958984375	NaN
P54709	87276.359375	852.0352172851562	1407.0523681640625	4970.2568359375	110853.25	4078.358642578125	1103.00537109375	17760.732421875	59771.828125	1.8679583072662354	658.6803588867188	10477.8515625
P55060	30537.185546875	18193.779296875	16702.84765625	NaN	22676.939453125	15292.7822265625	11356.5419921875	11554.2373046875	24345.255859375	7916.755859375	35661.06640625	NaN
P55072	64375.93359375	31065.13671875	42616.0078125	38499.234375	76988.671875	37263.19140625	51576.56640625	57100.6171875	68701.4296875	38107.16796875	79420.3125	45947.7109375
P55081	46150.19140625	83134.71875	62075.18359375	57397.140625	33932.86328125	53227.68359375	38217.50390625	35617.9609375	24756.802734375	74977.046875	22673.939453125	46577.7890625
P55265	50021.15625	84789.3359375	63205.9140625	61509.23046875	51712.0078125	106100.71875	63015.93359375	65532.609375	46285.03125	91994.1171875	63750.015625	49687.29296875
P55735	18019.2578125	3191.80419921875	5973.47705078125	NaN	10127.4365234375	1709.0079345703125	10928.060546875	9323.09765625	11898.76171875	4844.41796875	10632.3974609375	NaN
P55769	20694.775390625	72065.46875	42477.1875	40748.2734375	20635.982421875	39308.61328125	49556.7890625	52489.76953125	16821.001953125	64656.640625	54149.59375	37993.20703125
P55795	134783.5	194567.78125	173546.40625	267933.8125	121566.6875	215313.453125	206970.671875	250166.578125	126906.3125	235718.265625	149391.6875	232949.71875
P55884	24018.1640625	23785.087890625	19627.83203125	3150.607421875	16872.48828125	15754.193359375	20834.4921875	16808.396484375	9268.912109375	12832.50390625	28120.283203125	17986.958984375
P56182	12257.1728515625	17226.259765625	16352.0185546875	1269.05224609375	4613.140625	8397.3349609375	5732.36376953125	12677.16015625	1092.193603515625	12653.5634765625	9733.43359375	2905.063720703125
P56192	9470.470703125	27729.48046875	14047.8212890625	464.86126708984375	10245.3984375	12583.1484375	16652.7734375	10183.2724609375	21324.787109375	759.9058227539062	18573.140625	NaN
P56537	96872.2578125	163891.640625	111111.515625	132177.015625	77674.1015625	89962.859375	125430.7734375	206002.984375	86105.5234375	159050.109375	125988.84375	102227.1484375
